OrderID,OrderDate,Customer,Barangay,City,Province,Region,Product,Category,Qty,UnitPrice,Amount,PaymentMethod,Status,DeliveredDate,ImportedDates
ORD-20260028,2026-02-04,Antonio Bautista,Del Pilar,Tarlac City,Tarlac,Central Luzon,CDO Corned Beef,Noodles & Canned Goods,8,33.0,264.0,GCash,Delivered,2026-02-09,04/02/2026
ORD-20260029,2026-05-16,Cristina Flores,Del Pilar,Quezon City,Metro Manila,NCR,Boy Bawang 100g,Snacks,2,18.0,36.0,Maya,Cancelled,,16/05/2026
ORD-20260030,2026-05-06,Eduardo Garcia,Poblacion,Tarlac City,Tarlac,Central Luzon,Safeguard Soap Bar,Personal Care,15,28.0,420.0,COD,Delivered,2026-05-12,06/05/2026
ORD-20260031,2026-04-27,Ricardo Ocampo,San Jose,Pasig,Metro Manila,NCR,Head & Shoulders Sachet,Personal Care,17,7.0,119.0,COD,Cancelled,,27/04/2026
ORD-20260032,2026-04-16,Elena Villanueva,Poblacion,Malolos,Bulacan,Central Luzon,Surf Powder Sachet,Household Care,19,8.0,152.0,Cash,Delivered,2026-04-25,16/04/2026
ORD-20260033,2026-01-16,Corazon Ramos,San Jose,Pasig,Metro Manila,NCR,Nissin Cup Noodles,Noodles & Canned Goods,20,20.0,400.0,Cash,Delivered,2026-01-18,16/01/2026
ORD-20260034,2026-01-16,Teresa Mendoza,San Isidro,Cebu City,Cebu,Central Visayas,Palmolive Shampoo Sachet,Personal Care,8,6.0,48.0,Cash,Delivered,2026-01-20,16/01/2026
ORD-20260035,2026-01-16,Roberto Flores,Malinta,Dasmarinas,Cavite,CALABARZON,Boy Bawang 100g,Snacks,2,18.0,36.0,COD,Delivered,2026-01-18,16/01/2026
ORD-20260036,2026-05-25,Elena Villanueva,Poblacion,Malolos,Bulacan,Central Luzon,Sta. Maria Crayons,School & Office Supplies,4,40.0,160.0,GCash,Delivered,2026-05-29,25/05/2026
ORD-20260037,2026-05-27,Corazon Bautista,Bagumbayan,Bacolod,Negros Occidental,Western Visayas,Piattos 85g,Snacks,3,32.0,96.0,COD,Cancelled,,27/05/2026
ORD-20260038,2026-03-21,Corazon Reyes,Malinta,Calamba,Laguna,CALABARZON,Colgate Toothpaste 75ml,Personal Care,17,45.0,765.0,COD,Delivered,2026-03-29,21/03/2026
ORD-20260039,2026-04-16,Eduardo Bautista,San Jose,Cebu City,Cebu,Central Visayas,Boy Bawang 100g,Snacks,15,18.0,270.0,Cash,Cancelled,,16/04/2026
ORD-20260040,2026-06-25,Josefina Torres,San Isidro,Tagbilaran,Bohol,Central Visayas,C2 Green Tea 500ml,Beverages,8,22.0,176.0,COD,Delivered,2026-06-30,25/06/2026
ORD-20260041,2026-03-11,Pedro Aquino,Rizal,Malolos,Bulacan,Central Luzon,Head & Shoulders Sachet,Personal Care,13,7.0,91.0,GCash,Delivered,2026-03-21,11/03/2026
ORD-20260042,2026-03-04,Manuel Mendoza,Poblacion,Mandaue,Cebu,Central Visayas,Domex Toilet Cleaner,Household Care,19,55.0,1045.0,GCash,Delivered,2026-03-10,04/03/2026
ORD-20260043,2026-05-13,Josefina Pascual,Poblacion,Manila,Metro Manila,NCR,Zonrox Bleach 500ml,Household Care,7,32.0,224.0,Maya,Delivered,2026-05-22,13/05/2026
ORD-20260044,2026-06-27,Ana Ramos,San Antonio,Malolos,Bulacan,Central Luzon,CDO Corned Beef,Noodles & Canned Goods,1,33.0,33.0,Bank Transfer,Delivered,2026-07-05,27/06/2026
ORD-20260045,2026-01-19,Fernando Pascual,Malinta,Malolos,Bulacan,Central Luzon,Palmolive Shampoo Sachet,Personal Care,11,6.0,66.0,Cash,Delivered,2026-01-27,19/01/2026
ORD-20260046,2026-02-01,Luz Pascual,Santo Nino,Cebu City,Cebu,Central Visayas,CDO Corned Beef,Noodles & Canned Goods,4,33.0,132.0,COD,Cancelled,,01/02/2026
ORD-20260047,2026-04-14,Eduardo Mendoza,San Isidro,Tagum,Davao del Norte,Davao Region,Nissin Cup Noodles,Noodles & Canned Goods,1,20.0,20.0,COD,Cancelled,,14/04/2026
ORD-20260048,2026-01-20,Luz Reyes,Poblacion,Dasmarinas,Cavite,CALABARZON,SkyFlakes Crackers,Snacks,12,15.0,180.0,Maya,Cancelled,,20/01/2026
ORD-20260049,2026-05-09,Corazon Aquino,San Antonio,Tagum,Davao del Norte,Davao Region,Nescafe 3-in-1 Sachet,Beverages,2,8.0,16.0,Maya,Delivered,2026-05-10,09/05/2026
ORD-20260050,2026-01-15,Maria Villanueva,Malinta,Calamba,Laguna,CALABARZON,Yellow Pad Paper,School & Office Supplies,3,12.0,36.0,COD,Pending,,15/01/2026
ORD-20260051,2026-06-01,Luz Reyes,San Jose,Tarlac City,Tarlac,Central Luzon,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,15,14.0,210.0,COD,Delivered,2026-06-07,01/06/2026
ORD-20260052,2026-03-12,Elena Villanueva,Poblacion,Malolos,Bulacan,Central Luzon,Colgate Toothpaste 75ml,Personal Care,14,45.0,630.0,GCash,Delivered,2026-03-15,12/03/2026
ORD-20260053,2026-06-08,Teresa Torres,San Antonio,Tagum,Davao del Norte,Davao Region,Head & Shoulders Sachet,Personal Care,3,7.0,21.0,GCash,Delivered,2026-06-11,08/06/2026
ORD-20260054,2026-04-07,Juan Del Rosario,Poblacion,Davao City,Davao del Sur,Davao Region,Safeguard Soap Bar,Personal Care,14,28.0,392.0,COD,Delivered,2026-04-09,07/04/2026
ORD-20260055,2026-05-23,Pedro Torres,Bagong Silang,Cebu City,Cebu,Central Visayas,Surf Powder Sachet,Household Care,9,8.0,72.0,COD,Cancelled,,23/05/2026
ORD-20260056,2026-01-08,Maria Castillo,Rizal,Tagum,Davao del Norte,Davao Region,SkyFlakes Crackers,Snacks,1,15.0,15.0,Cash,Delivered,2026-01-18,08/01/2026
ORD-20260057,2026-06-11,Ana Del Rosario,Santo Nino,Manila,Metro Manila,NCR,Boy Bawang 100g,Snacks,5,18.0,90.0,GCash,Cancelled,,11/06/2026
ORD-20260058,2026-03-29,Josefina Ramos,San Isidro,Cebu City,Cebu,Central Visayas,Piattos 85g,Snacks,17,32.0,544.0,Cash,Delivered,2026-04-07,29/03/2026
ORD-20260059,2026-06-17,Josefina Castillo,Poblacion,Tagbilaran,Bohol,Central Visayas,Joy Dishwashing Liquid 250ml,Household Care,18,38.0,684.0,COD,Delivered,2026-06-18,17/06/2026
ORD-20260060,2026-02-25,Josefina Santos,Rizal,Pasig,Metro Manila,NCR,Piattos 85g,Snacks,15,32.0,480.0,Maya,Delivered,2026-03-03,25/02/2026
ORD-20260061,2026-06-12,Ana Villanueva,San Antonio,Tarlac City,Tarlac,Central Luzon,Safeguard Soap Bar,Personal Care,11,28.0,308.0,Bank Transfer,Pending,,12/06/2026
ORD-20260062,2026-06-04,Eduardo Mendoza,Bagong Silang,Batangas City,Batangas,CALABARZON,Domex Toilet Cleaner,Household Care,20,55.0,1100.0,GCash,Delivered,2026-06-11,04/06/2026
ORD-20260063,2026-02-01,Maria Pascual,Bagumbayan,Tagum,Davao del Norte,Davao Region,Lucky Me Beef Sotanghon,Noodles & Canned Goods,5,13.0,65.0,COD,Delivered,2026-02-02,01/02/2026
ORD-20260064,2026-02-12,Antonio Flores,Del Pilar,Manila,Metro Manila,NCR,Domex Toilet Cleaner,Household Care,1,55.0,55.0,GCash,Delivered,2026-02-17,12/02/2026
ORD-20260065,2026-04-19,Josefina Santos,Santo Nino,Tagum,Davao del Norte,Davao Region,Domex Toilet Cleaner,Household Care,9,55.0,495.0,Maya,Delivered,2026-04-21,19/04/2026
ORD-20260066,2026-04-25,Corazon Torres,Bagumbayan,Cebu City,Cebu,Central Visayas,CDO Corned Beef,Noodles & Canned Goods,10,33.0,330.0,COD,Delivered,2026-04-30,25/04/2026
ORD-20260067,2026-02-24,Pedro Pascual,San Isidro,Manila,Metro Manila,NCR,Nissin Cup Noodles,Noodles & Canned Goods,11,20.0,220.0,Cash,Delivered,2026-02-25,24/02/2026
ORD-20260068,2026-03-17,Josefina Torres,Malinta,Tagum,Davao del Norte,Davao Region,Safeguard Soap Bar,Personal Care,16,28.0,448.0,COD,Delivered,2026-03-22,17/03/2026
ORD-20260069,2026-02-02,Josefina Santos,Santo Nino,Tagum,Davao del Norte,Davao Region,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,2,14.0,28.0,GCash,Delivered,2026-02-05,02/02/2026
ORD-20260070,2026-04-27,Corazon Aquino,San Antonio,Tagum,Davao del Norte,Davao Region,Lucky Me Beef Sotanghon,Noodles & Canned Goods,15,13.0,195.0,Cash,Pending,,27/04/2026
ORD-20260071,2026-05-24,Ricardo Bautista,Bagong Silang,Tagum,Davao del Norte,Davao Region,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,6,14.0,84.0,Cash,Pending,,24/05/2026
ORD-20260072,2026-04-21,Ricardo Bautista,Bagong Silang,Tagum,Davao del Norte,Davao Region,Palmolive Shampoo Sachet,Personal Care,9,6.0,54.0,Maya,Delivered,2026-04-30,21/04/2026
ORD-20260073,2026-06-18,Juan Reyes,Poblacion,Quezon City,Metro Manila,NCR,Domex Toilet Cleaner,Household Care,9,55.0,495.0,Maya,Delivered,2026-06-26,18/06/2026
ORD-20260074,2026-05-03,Fernando Mendoza,Santo Nino,Quezon City,Metro Manila,NCR,Palmolive Shampoo Sachet,Personal Care,20,6.0,120.0,Cash,Delivered,2026-05-07,03/05/2026
ORD-20260075,2026-06-29,Elena Torres,Malinta,Tarlac City,Tarlac,Central Luzon,Piattos 85g,Snacks,15,32.0,480.0,GCash,Cancelled,,29/06/2026
ORD-20260076,2026-01-04,Maria Santos,Poblacion,Tagum,Davao del Norte,Davao Region,Sterling Notebook,School & Office Supplies,7,18.0,126.0,GCash,Delivered,2026-01-11,04/01/2026
ORD-20260077,2026-05-12,Juan Bautista,San Jose,Angeles City,Pampanga,Central Luzon,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,11,14.0,154.0,COD,Delivered,2026-05-18,12/05/2026
ORD-20260078,2026-06-25,Luz Pascual,Santo Nino,Cebu City,Cebu,Central Visayas,555 Sardines,Noodles & Canned Goods,15,22.0,330.0,Cash,Delivered,2026-07-05,25/06/2026
ORD-20260079,2026-04-12,Pedro Torres,San Isidro,Dasmarinas,Cavite,CALABARZON,ILUV Ballpen,School & Office Supplies,10,10.0,100.0,COD,Pending,,12/04/2026
ORD-20260080,2026-01-18,Maria Santos,Poblacion,Tagum,Davao del Norte,Davao Region,Zonrox Bleach 500ml,Household Care,10,32.0,320.0,Cash,Pending,,18/01/2026
ORD-20260081,2026-05-11,Antonio Bautista,Rizal,Davao City,Davao del Sur,Davao Region,Safeguard Soap Bar,Personal Care,14,28.0,392.0,Maya,Delivered,2026-05-21,11/05/2026
ORD-20260082,2026-03-18,Teresa Reyes,Poblacion,Calamba,Laguna,CALABARZON,Zonrox Bleach 500ml,Household Care,2,32.0,64.0,GCash,Delivered,2026-03-23,18/03/2026
ORD-20260083,2026-06-14,Luz Castillo,Bagumbayan,Calamba,Laguna,CALABARZON,CDO Corned Beef,Noodles & Canned Goods,4,33.0,132.0,Maya,Delivered,2026-06-23,14/06/2026
ORD-20260084,2026-05-19,Ricardo Bautista,Del Pilar,Manila,Metro Manila,NCR,SkyFlakes Crackers,Snacks,7,15.0,105.0,Cash,Delivered,2026-05-25,19/05/2026
ORD-20260085,2026-05-17,Eduardo Garcia,Poblacion,Tarlac City,Tarlac,Central Luzon,555 Sardines,Noodles & Canned Goods,18,22.0,396.0,Cash,Delivered,2026-05-19,17/05/2026
ORD-20260086,2026-05-04,Jose Reyes,Rizal,Tagum,Davao del Norte,Davao Region,Milo Sachet,Beverages,19,9.0,171.0,Cash,Delivered,2026-05-09,04/05/2026
ORD-20260087,2026-03-05,Jose Cruz,Santo Nino,Angeles City,Pampanga,Central Luzon,Domex Toilet Cleaner,Household Care,17,55.0,935.0,Maya,Delivered,2026-03-14,05/03/2026
ORD-20260088,2026-05-31,Pedro Castillo,Santo Nino,Cebu City,Cebu,Central Visayas,Yellow Pad Paper,School & Office Supplies,2,12.0,24.0,Cash,Delivered,2026-06-09,31/05/2026
ORD-20260089,2026-04-06,Josefina Santos,San Jose,Bacolod,Negros Occidental,Western Visayas,Yellow Pad Paper,School & Office Supplies,18,12.0,216.0,Maya,Delivered,2026-04-09,06/04/2026
ORD-20260090,2026-03-21,Josefina Ramos,San Isidro,Cebu City,Cebu,Central Visayas,Sta. Maria Crayons,School & Office Supplies,18,40.0,720.0,Cash,Delivered,2026-03-28,21/03/2026
ORD-20260091,2026-04-18,Josefina Torres,Malinta,Tagum,Davao del Norte,Davao Region,CDO Corned Beef,Noodles & Canned Goods,15,33.0,495.0,Maya,Delivered,2026-04-25,18/04/2026
ORD-20260092,2026-06-05,Teresa Reyes,Poblacion,Calamba,Laguna,CALABARZON,Surf Powder Sachet,Household Care,8,8.0,64.0,Cash,Delivered,2026-06-15,05/06/2026
ORD-20260093,2026-02-02,Ricardo Flores,San Jose,Tagbilaran,Bohol,Central Visayas,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,1,14.0,14.0,Maya,Returned,2026-02-10,02/02/2026
ORD-20260094,2026-03-18,Luz Garcia,San Isidro,Tagum,Davao del Norte,Davao Region,Boy Bawang 100g,Snacks,12,18.0,216.0,Cash,Cancelled,,18/03/2026
ORD-20260095,2026-02-04,Roberto Del Rosario,San Isidro,Malolos,Bulacan,Central Luzon,Zonrox Bleach 500ml,Household Care,14,32.0,448.0,Cash,Pending,,04/02/2026
ORD-20260096,2026-01-16,Josefina Castillo,Poblacion,Tagbilaran,Bohol,Central Visayas,Zonrox Bleach 500ml,Household Care,11,32.0,352.0,GCash,Delivered,2026-01-18,16/01/2026
ORD-20260097,2026-04-30,Eduardo Ocampo,San Antonio,Tagum,Davao del Norte,Davao Region,Milo Sachet,Beverages,8,9.0,72.0,Maya,Delivered,2026-05-05,30/04/2026
ORD-20260098,2026-06-17,Corazon Bautista,Bagong Silang,Davao City,Davao del Sur,Davao Region,Boy Bawang 100g,Snacks,5,18.0,90.0,COD,Delivered,2026-06-22,17/06/2026
ORD-20260099,2026-04-04,Ricardo Flores,San Isidro,Iloilo City,Iloilo,Western Visayas,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,16,14.0,224.0,COD,Delivered,2026-04-05,04/04/2026
ORD-20260100,2026-04-23,Roberto Aquino,San Antonio,Cebu City,Cebu,Central Visayas,Sterling Notebook,School & Office Supplies,7,18.0,126.0,COD,Returned,2026-04-25,23/04/2026
ORD-20260101,2026-04-27,Juan Villanueva,Rizal,Iloilo City,Iloilo,Western Visayas,C2 Green Tea 500ml,Beverages,10,22.0,220.0,Bank Transfer,Returned,2026-05-02,27/04/2026
ORD-20260102,2026-05-19,Juan Villanueva,Rizal,Iloilo City,Iloilo,Western Visayas,Milo Sachet,Beverages,3,9.0,27.0,Maya,Delivered,2026-05-24,19/05/2026
ORD-20260103,2026-01-21,Josefina Pascual,Poblacion,Manila,Metro Manila,NCR,ILUV Ballpen,School & Office Supplies,12,10.0,120.0,GCash,Returned,2026-01-31,21/01/2026
ORD-20260104,2026-01-24,Maria Castillo,Rizal,Tagum,Davao del Norte,Davao Region,Zonrox Bleach 500ml,Household Care,20,32.0,640.0,COD,Delivered,2026-01-30,24/01/2026
ORD-20260105,2026-01-20,Teresa Villanueva,Santo Nino,Malolos,Bulacan,Central Luzon,Boy Bawang 100g,Snacks,20,18.0,360.0,Maya,Delivered,2026-01-29,20/01/2026
ORD-20260106,2026-03-09,Josefina Pascual,Poblacion,Manila,Metro Manila,NCR,Nova Multigrain 78g,Snacks,17,30.0,510.0,COD,Delivered,2026-03-18,09/03/2026
ORD-20260107,2026-05-08,Pedro Castillo,Santo Nino,Cebu City,Cebu,Central Visayas,Nissin Cup Noodles,Noodles & Canned Goods,6,20.0,120.0,COD,Delivered,2026-05-09,08/05/2026
ORD-20260108,2026-01-10,Eduardo Santos,San Isidro,Pasig,Metro Manila,NCR,Nova Multigrain 78g,Snacks,6,30.0,180.0,Cash,Delivered,2026-01-14,10/01/2026
ORD-20260109,2026-04-13,Josefina Torres,Malinta,Tagum,Davao del Norte,Davao Region,Argentina Corned Beef,Noodles & Canned Goods,7,35.0,245.0,COD,Delivered,2026-04-14,13/04/2026
ORD-20260110,2026-04-10,Luz Garcia,San Isidro,Tagum,Davao del Norte,Davao Region,Lucky Me Beef Sotanghon,Noodles & Canned Goods,11,13.0,143.0,GCash,Delivered,2026-04-19,10/04/2026
ORD-20260111,2026-02-10,Josefina Ramos,San Isidro,Cebu City,Cebu,Central Visayas,Zonrox Bleach 500ml,Household Care,4,32.0,128.0,GCash,Delivered,2026-02-13,10/02/2026
ORD-20260112,2026-02-22,Teresa Torres,San Antonio,Tagum,Davao del Norte,Davao Region,Safeguard Soap Bar,Personal Care,3,28.0,84.0,COD,Cancelled,,22/02/2026
ORD-20260113,2026-05-01,Maria Villanueva,Malinta,Calamba,Laguna,CALABARZON,Sta. Maria Crayons,School & Office Supplies,15,40.0,600.0,COD,Delivered,2026-05-03,01/05/2026
ORD-20260114,2026-03-17,Fernando Santos,San Antonio,Bacolod,Negros Occidental,Western Visayas,Palmolive Shampoo Sachet,Personal Care,8,6.0,48.0,Cash,Delivered,2026-03-24,17/03/2026
ORD-20260115,2026-02-24,Teresa Pascual,Bagong Silang,Tagum,Davao del Norte,Davao Region,Piattos 85g,Snacks,5,32.0,160.0,Cash,Cancelled,,24/02/2026
ORD-20260116,2026-06-20,Corazon Villanueva,San Isidro,Makati,Metro Manila,NCR,Colgate Toothpaste 75ml,Personal Care,3,45.0,135.0,Cash,Delivered,2026-06-29,20/06/2026
ORD-20260117,2026-01-27,Josefina Pascual,Poblacion,Manila,Metro Manila,NCR,Joy Dishwashing Liquid 250ml,Household Care,1,38.0,38.0,Cash,Cancelled,,27/01/2026
ORD-20260118,2026-01-24,Ramon Mendoza,San Jose,Tagum,Davao del Norte,Davao Region,Nissin Cup Noodles,Noodles & Canned Goods,9,20.0,180.0,Bank Transfer,Delivered,2026-02-03,24/01/2026
ORD-20260119,2026-05-12,Eduardo Santos,San Isidro,Pasig,Metro Manila,NCR,Colgate Toothpaste 75ml,Personal Care,16,45.0,720.0,COD,Pending,,12/05/2026
ORD-20260120,2026-02-26,Josefina Pascual,San Jose,Tarlac City,Tarlac,Central Luzon,ILUV Ballpen,School & Office Supplies,19,10.0,190.0,Cash,Delivered,2026-03-05,26/02/2026
ORD-20260121,2026-01-17,Ricardo Garcia,Santo Nino,Batangas City,Batangas,CALABARZON,Argentina Corned Beef,Noodles & Canned Goods,19,35.0,665.0,GCash,Returned,2026-01-25,17/01/2026
ORD-20260122,2026-06-03,Jose Castillo,Del Pilar,Malolos,Bulacan,Central Luzon,Nescafe 3-in-1 Sachet,Beverages,8,8.0,64.0,GCash,Delivered,2026-06-05,03/06/2026
ORD-20260123,2026-04-14,Luz Torres,Rizal,Mandaue,Cebu,Central Visayas,Coca-Cola 1.5L,Beverages,7,65.0,455.0,COD,Returned,2026-04-24,14/04/2026
ORD-20260124,2026-04-26,Ana Torres,San Antonio,Pasig,Metro Manila,NCR,C2 Green Tea 500ml,Beverages,9,22.0,198.0,Cash,Delivered,2026-05-02,26/04/2026
ORD-20260125,2026-01-23,Josefina Pascual,San Jose,Tarlac City,Tarlac,Central Luzon,C2 Green Tea 500ml,Beverages,8,22.0,176.0,Cash,Returned,2026-01-24,23/01/2026
ORD-20260126,2026-06-13,Ricardo Bautista,Bagong Silang,Tagum,Davao del Norte,Davao Region,CDO Corned Beef,Noodles & Canned Goods,19,33.0,627.0,COD,Cancelled,,13/06/2026
ORD-20260127,2026-02-16,Maria Castillo,San Antonio,Malolos,Bulacan,Central Luzon,Palmolive Shampoo Sachet,Personal Care,7,6.0,42.0,COD,Cancelled,,16/02/2026
ORD-20260128,2026-03-15,Elena Cruz,Santo Nino,Angeles City,Pampanga,Central Luzon,Safeguard Soap Bar,Personal Care,12,28.0,336.0,Cash,Pending,,15/03/2026
ORD-20260129,2026-01-01,Josefina Flores,Bagumbayan,Iloilo City,Iloilo,Western Visayas,Joy Dishwashing Liquid 250ml,Household Care,19,38.0,722.0,COD,Delivered,2026-01-04,01/01/2026
ORD-20260130,2026-04-02,Pedro Garcia,Bagong Silang,Manila,Metro Manila,NCR,Domex Toilet Cleaner,Household Care,16,55.0,880.0,GCash,Returned,2026-04-04,02/04/2026
ORD-20260131,2026-01-16,Roberto Santos,Del Pilar,Bacolod,Negros Occidental,Western Visayas,Colgate Toothpaste 75ml,Personal Care,10,45.0,450.0,GCash,Cancelled,,16/01/2026
ORD-20260132,2026-05-31,Jose Reyes,Rizal,Tagum,Davao del Norte,Davao Region,Sta. Maria Crayons,School & Office Supplies,18,40.0,720.0,Cash,Delivered,2026-06-04,31/05/2026
ORD-20260133,2026-06-08,Luz Reyes,San Jose,Tarlac City,Tarlac,Central Luzon,Argentina Corned Beef,Noodles & Canned Goods,15,35.0,525.0,COD,Pending,,08/06/2026
ORD-20260134,2026-01-03,Josefina Torres,San Isidro,Tagbilaran,Bohol,Central Visayas,C2 Green Tea 500ml,Beverages,8,22.0,176.0,GCash,Delivered,2026-01-06,03/01/2026
ORD-20260135,2026-01-28,Jose Santos,San Jose,Cebu City,Cebu,Central Visayas,Nova Multigrain 78g,Snacks,6,30.0,180.0,COD,Delivered,2026-02-03,28/01/2026
ORD-20260136,2026-01-26,Antonio Santos,Del Pilar,Iloilo City,Iloilo,Western Visayas,555 Sardines,Noodles & Canned Goods,11,22.0,242.0,Cash,Delivered,2026-01-29,26/01/2026
ORD-20260137,2026-02-25,Josefina Ramos,San Isidro,Cebu City,Cebu,Central Visayas,Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,12,14.0,168.0,COD,Delivered,2026-02-27,25/02/2026
