OrderID,OrderDate,Customer,City,Region,Product,Qty,UnitPrice,Amount,Mobile,PaymentMethod,Status
ORD-20260044,2026-02-02,Elena Aquino,Bacolod,Western Visayas,Milo Sachet,3,9.0,27.0,09551135054,Cash,Delivered
ORD-20260045,2026-02-05,Teresa Torres,Mandaue,Central Visayas,Joy Dishwashing Liquid 250ml,8,38.0,304.0,091234,COD,Delivered
ORD-20260046,2027-01-16,Manuel Reyes,Quezon City,NCR,Joy Dishwashing Liquid 250ml,20,38.0,760.0,09272749224,Bank Transfer,Delivered
ORD-20260047,2026-01-26,  ANA FLORES  ,Tagum,Davao Region,Yellow Pad Paper,11,12.0,132.0,09494223073,Maya,Cancelled
ORD-20260048,2026-02-15,Maria Mendoza,Manila,NCR,C2 Green Tea 500ml,14,22.0,308.0,09743755882,Cash,Delivered
ORD-20260049,2026-03-14,Antonio Cruz,Mandaue,Central Visayas,Zonrox Bleach 500ml,6,32.0,192.0,09881974453,GCash,Returned
ORD-20260050,2026-03-11,Corazon Bautista,Bacolod,Western Visayas,Milo Sachet,19,9.0,171.0,09878290125,Maya,Pending
ORD-20260051,2026-06-15,Manuel Flores,Angeles City,Central Luzon,Yellow Pad Paper,2,12.0,24.0,09374668971,Cash,Delivered
ORD-20260052,2026-01-06,  CORAZON BAUTISTA  ,Bacolod,Western Visayas,SkyFlakes Crackers,19,15.0,285.0,09966437927,COD,Cancelled
ORD-20260053,2026-04-13,Roberto Garcia,Manila,NCR,Joy Dishwashing Liquid 250ml,20,38.0,760.0,09165834035,GCash,Delivered
ORD-20260054,2026-04-25,Elena Villanueva,Malolos,Central Luzon,CDO Corned Beef,17,33.0,561.0,091234,GCash,Delivered
ORD-20260055,2026-03-20,Pedro Reyes,Tarlac City,Central Luzon,Palmolive Shampoo Sachet,1,6.0,6.0,09613432587,COD,Delivered
ORD-20260056,2026-04-20,  MARIA BAUTISTA  ,Mandaue,Central Visayas,Boy Bawang 100g,14,18.0,252.0,09876843822,Cash,Delivered
ORD-20260057,2026-04-06,Ana Ocampo,Mandaue,Central Visayas,Piattos 85g,8,32.0,256.0,09107569725,Cash,Delivered
ORD-20260058,2026-06-15,  MARIA SANTOS  ,Bacolod,Western Visayas,C2 Green Tea 500ml,5,22.0,110.0,09925526283,COD,Delivered
ORD-20260059,2026-06-23,Antonio Flores,Manila,NCR,Sta. Maria Crayons,11,40.0,440.0,09277048173,COD,Delivered
ORD-20260060,2026-04-03,Ana Cruz,Manila,NCR,Safeguard Soap Bar,6,28.0,168.0,09714567988,GCash,Pending
ORD-20260061,2026-02-04,Eduardo Del Rosario,Iloilo City,Western Visayas,Zonrox Bleach 500ml,16,32.0,512.0,09658553181,COD,Returned
ORD-20260062,2026-03-05,  LUZ GARCIA  ,Tagum,Davao Region,ILUV Ballpen,19,10.0,190.0,091234,COD,Delivered
ORD-20260063,2026-03-12,Ricardo Bautista, Manila,NCR,Argentina Corned Beef,4,35.0,140.0,09451060095,COD,Delivered
ORD-20260064,2026-03-21,  CRISTINA GARCIA  ,Dasmarinas,CALABARZON,Milo Sachet,9,9.0,81.0,09884388463,Maya,Delivered
ORD-20260065,2026-03-01,  MARIA VILLANUEVA  ,Calamba,CALABARZON,Milo Sachet,8,9.0,72.0,09198211297,Cash,Delivered
ORD-20260066,2026-06-11,Fernando Villanueva,Bacolod,Western Visayas,Coca-Cola 1.5L,18,65.0,1170.0,091234,GCash,Delivered
ORD-20260067,2026-01-27,  FERNANDO OCAMPO  ,Tagum,Davao Region,Domex Toilet Cleaner,12,55.0,660.0,09212691764,GCash,Delivered
ORD-20260068,2026-06-06,Rosa Reyes,Iloilo City,Western Visayas,Argentina Corned Beef,13,35.0,455.0,09222631072,COD,Delivered
ORD-20260069,2026-02-17,Elena Garcia,Davao City,Davao Region,Argentina Corned Beef,3,35.0,105.0,09222573557,GCash,Returned
ORD-20260070,2026-04-18,Pedro Torres,Tarlac City,Central Luzon,Sta. Maria Crayons,9,40.0,360.0,09985484234,Cash,Delivered
ORD-20260071,2026-01-17,Maria Villanueva,Malolos,Central Luzon,Sta. Maria Crayons,15,40.0,600.0,091234,Bank Transfer,Delivered
ORD-20260072,2026-03-31,  CRISTINA GARCIA  ,Dasmarinas,CALABARZON,Joy Dishwashing Liquid 250ml,4,38.0,152.0,09543795877,GCash,Delivered
ORD-20260073,2026-05-21,Teresa Villanueva,Malolos,Central Luzon,Nissin Cup Noodles,14,20.0,280.0,09274821895,COD,Cancelled
ORD-20260074,2026-04-16,Cristina Santos,Makati,NCR,Nova Multigrain 78g,11,30.0,330.0,09929567744,Cash,Delivered
ORD-20260075,2026-06-03,  PEDRO GARCIA  ,Manila,NCR,Argentina Corned Beef,8,35.0,280.0,09559607153,GCash,Returned
ORD-20260076,2026-02-21,Eduardo Mendoza,Batangas City,CALABARZON,SkyFlakes Crackers,16,15.0,240.0,09702292474,Maya,Delivered
ORD-20260077,2026-03-12,Luz Garcia,Tagum,Davao Region,Nova Multigrain 78g,7,30.0,210.0,091234,COD,Delivered
ORD-20260078,2026-03-29,Fernando Villanueva,Bacolod,Western Visayas,ILUV Ballpen,20,10.0,200.0,09191094945,COD,Returned
ORD-20260079,2026-02-12,Pedro Torres,Dasmarinas,CALABARZON,Safeguard Soap Bar,6,28.0,168.0,09353804955,Cash,Delivered
ORD-20260080,2026-01-31,Maria Pascual,Tagum,Davao Region,Joy Dishwashing Liquid 250ml,17,38.0,646.0,09513210880,COD,Delivered
ORD-20260081,2026-01-03,Pedro Santos,Iloilo City,Western Visayas,Sterling Notebook,6,18.0,108.0,091234,Bank Transfer,Cancelled
ORD-20260082,2026-04-14,Maria Mendoza,Manila,NCR,Domex Toilet Cleaner,13,55.0,715.0,09419135694,GCash,Cancelled
ORD-20260083,2026-12-23,Pedro Reyes,Tarlac City,Central Luzon,Joy Dishwashing Liquid 250ml,2,38.0,76.0,09136758479,GCash,Delivered
ORD-20260084,2026-05-28,Josefina Pascual,Manila,NCR,555 Sardines,6,22.0,132.0,09293046299,COD,Pending
ORD-20260085,2026-04-26,  TERESA TORRES  ,Tagum,Davao Region,CDO Corned Beef,9,33.0,297.0,09743244398,GCash,Pending
ORD-20260086,2026-05-12,  CRISTINA TORRES  ,Quezon City,NCR,Lucky Me Pancit Canton Noodles,5,14.0,70.0,09480076398,GCash,Delivered
ORD-20260087,2026-04-02,Jose Del Rosario,Tagbilaran,Central Visayas,Lucky Me Beef Sotanghon,3,13.0,39.0,091234,GCash,Delivered
ORD-20260088,2027-01-05,Antonio Santos,Bacolod,Western Visayas,CDO Corned Beef,14,33.0,462.0,09205822315,Cash,Delivered
ORD-20260089,2026-03-13,Eduardo Del Rosario,Iloilo City,Western Visayas,Lucky Me Pancit Canton Noodles,13,14.0,182.0,09231954647,Cash,Delivered
ORD-20260090,2026-05-21,  JOSE TORRES  ,Dasmarinas,CALABARZON,Lucky Me Beef Sotanghon,3,13.0,39.0,09714407601,COD,Delivered
ORD-20260091,2026-05-20,Ricardo Cruz,Calamba,CALABARZON,Sta. Maria Crayons,17,40.0,680.0,09150377602,GCash,Returned
ORD-20260092,2026-06-18,Maria Bautista,Mandaue,Central Visayas,Piattos 85g,3,32.0,96.0,09526032874,GCash,Delivered
ORD-20260093,2026-03-12,Eduardo Santos,Pasig,NCR,Nissin Cup Noodles,19,20.0,380.0,09140395744,GCash,Delivered
ORD-20260094,2026-05-08,  JUAN REYES  ,QC,NCR,Head & Shoulders Sachet,18,7.0,126.0,09520211991,Cash,Delivered
ORD-20260095,2026-01-09,Fernando Garcia,Iloilo City,Western Visayas,Nissin Cup Noodles,11,20.0,220.0,09915757467,COD,Delivered
ORD-20260096,2026-04-26,Eduardo Mendoza,Tagum,Davao Region,ILUV Ballpen,6,10.0,60.0,09997784472,Maya,Delivered
ORD-20260097,2026-01-02,  PEDRO GARCIA  ,Manila,NCR,Zonrox Bleach 500ml,9,32.0,288.0,09671529315,Maya,Delivered
ORD-20260098,2026-06-21,  ANTONIO SANTOS  ,Iloilo City,Western Visayas,Zonrox Bleach 500ml,7,32.0,224.0,09307377397,GCash,Delivered
ORD-20260099,2026-01-16,  MANUEL MENDOZA  ,Tagbilaran,Central Visayas,Argentina Corned Beef,16,35.0,560.0,09143072763,GCash,Pending
ORD-20260100,2026-01-17,  TERESA TORRES  ,Tagum,Davao Region,Lucky Me Pancit Canton Noodles,13,14.0,182.0,09594114589,Cash,Delivered
ORD-20260101,2026-03-18,Fernando Santos,Bacolod,Western Visayas,Surf Powder Sachet,4,8.0,32.0,091234,Maya,Delivered
ORD-20260102,2026-06-22,Manuel Santos,Tagum,Davao Region,Lucky Me Pancit Canton Noodles,15,14.0,210.0,09829091967,Maya,Delivered
ORD-20260103,2026-06-18,  MANUEL MENDOZA  ,Tagbilaran,Central Visayas,Head & Shoulders Sachet,18,7.0,126.0,09701772024,Cash,Cancelled
ORD-20260104,2026-05-01,Antonio Mendoza,Calamba,CALABARZON,Lucky Me Pancit Canton Noodles,15,14.0,210.0,09287087791,COD,Delivered
ORD-20260105,2026-06-25,Elena Aquino,Bacolod,Western Visayas,Milo Sachet,13,9.0,117.0,09912646097,COD,Returned
ORD-20260106,2026-05-23,Ana Del Rosario,manila,NCR,Zonrox Bleach 500ml,5,32.0,160.0,091234,Maya,Delivered
ORD-20260107,2026-02-06,Luz Garcia,Tagum,Davao Region,Piattos 85g,5,32.0,160.0,09521607598,GCash,Delivered
ORD-20260108,2026-02-26,Carmen Pascual,Bacolod,Western Visayas,SkyFlakes Crackers,17,15.0,255.0,09393093112,COD,Delivered
ORD-20260109,2026-06-06,  PEDRO TORRES  ,Cebu City,Central Visayas,Coca-Cola 1.5L,8,65.0,520.0,091234,GCash,Delivered
ORD-20260110,2026-04-14,Luz Torres,Mandaue,Central Visayas,Joy Dishwashing Liquid 250ml,6,38.0,228.0,09246902740,GCash,Delivered
ORD-20260111,2026-04-27,Teresa Pascual,Tagum,Davao Region,Domex Toilet Cleaner,9,55.0,495.0,09843564972,Maya,Delivered
ORD-20260112,2026-05-01,Josefina Santos,Tagbilaran,Central Visayas,Coca-Cola 1.5L,18,65.0,1170.0,09193428955,Cash,Delivered
ORD-20260113,2026-05-17,Jose Reyes,quezon city,NCR,CDO Corned Beef,19,33.0,627.0,09908189704,COD,Delivered
ORD-20260114,2026-02-26,Teresa Pascual,Tagum,Davao Region,Lucky Me Beef Sotanghon,19,13.0,247.0,09871771340,Bank Transfer,Delivered
ORD-20260115,2026-02-25,Luz Ocampo,Bacolod,Western Visayas,Domex Toilet Cleaner,19,55.0,1045.0,091234,GCash,Pending
ORD-20260116,2026-03-30,Cristina Pascual,Davao City,Davao Region,Zonrox Bleach 500ml,10,32.0,320.0,09364320990,GCash,Cancelled
ORD-20260117,2026-03-27,Ricardo Aquino,Cebu City,Central Visayas,Domex Toilet Cleaner,2,55.0,110.0,09500086183,COD,Delivered
ORD-20260118,2026-02-23,Elena Ramos,Tarlac City,Central Luzon,Yellow Pad Paper,11,12.0,132.0,09484495688,COD,Delivered
ORD-20260119,2026-05-31,Maria Flores,Makati,NCR,Argentina Corned Beef,1,35.0,35.0,091234,COD,Delivered
ORD-20260120,2026-01-04,Juan Bautista,Angeles City,Central Luzon,ILUV Ballpen,3,10.0,30.0,091234,Cash,Pending
ORD-20260121,2026-04-19,Ana Villanueva,Tarlac City,Central Luzon,Lucky Me Beef Sotanghon,16,13.0,208.0,09188152143,Maya,Delivered
ORD-20260122,2026-05-23,Eduardo Mendoza,Tagum,Davao Region,Coca-Cola 1.5L,4,65.0,260.0,09365612028,GCash,Delivered
ORD-20260123,2026-01-20,  FERNANDO RAMOS  ,Iloilo City,Western Visayas,Coca-Cola 1.5L,4,65.0,260.0,09369652908,Cash,Delivered
ORD-20260124,2026-02-18,Manuel Ramos,Tagbilaran,Central Visayas,Milo Sachet,6,9.0,54.0,09118180620,COD,Delivered
ORD-20260125,2026-03-03,  JOSEFINA OCAMPO  ,Davao City,Davao Region,C2 Green Tea 500ml,12,22.0,264.0,09176709921,Bank Transfer,Delivered
ORD-20260126,2026-05-15,Maria Mendoza,Manila,NCR,Zonrox Bleach 500ml,12,32.0,384.0,09954751295,Maya,Cancelled
ORD-20260127,2026-03-06,Josefina Santos,Tagum,Davao Region,Boy Bawang 100g,17,18.0,306.0,09488264894,Cash,Delivered
ORD-20260128,2026-04-05,Roberto Garcia, Manila,NCR,Nova Multigrain 78g,5,30.0,150.0,09206253404,Maya,Delivered
ORD-20260129,2026-05-07,Manuel Flores,Dasmarinas,CALABARZON,Zonrox Bleach 500ml,7,32.0,224.0,09909360534,GCash,Delivered
ORD-20260130,2026-06-12,Pedro Reyes,Tagum,Davao Region,555 Sardines,7,22.0,154.0,09108764997,COD,Delivered
ORD-20260131,2026-02-11,Roberto Flores,Dasmarinas,CALABARZON,CDO Corned Beef,4,33.0,132.0,09609803766,COD,Delivered
ORD-20260132,2026-06-27,Juan Del Rosario,Davao City,Davao Region,C2 Green Tea 500ml,12,22.0,264.0,09467512311,COD,Delivered
ORD-20260133,2026-01-15,Antonio Mendoza,Calamba,CALABARZON,ILUV Ballpen,8,10.0,80.0,09882663303,Cash,Returned
ORD-20260134,2026-02-14,Pedro Del Rosario,Pasig,NCR,Nissin Cup Noodles,13,20.0,260.0,091234,COD,Delivered
ORD-20260135,2026-03-25,Josefina Torres,Tagum,Davao Region,Nescafe 3-in-1 Sachet,13,8.0,104.0,09634169911,GCash,Cancelled
ORD-20260136,2026-03-08,Roberto Santos,Bacolod,Western Visayas,Nescafe 3-in-1 Sachet,8,8.0,64.0,09773606676,COD,Delivered
ORD-20260137,2026-05-30,  MANUEL MENDOZA  ,Tagbilaran,Central Visayas,Coca-Cola 1.5L,12,65.0,780.0,09718619633,GCash,Delivered
ORD-20260138,2026-02-03,Jose Ocampo,Dasmarinas,CALABARZON,Safeguard Soap Bar,10,28.0,280.0,09911395146,Cash,Pending
ORD-20260139,2026-05-31,  ELENA RAMOS  ,Tarlac City,Central Luzon,Head & Shoulders Sachet,15,7.0,105.0,09347374745,COD,Returned
ORD-20260140,2026-02-23,  PEDRO CRUZ  ,Cebu  City,Central Visayas,Joy Dishwashing Liquid 250ml,19,38.0,722.0,09891290852,COD,Delivered
ORD-20260141,2026-03-20,Pedro Garcia,manila,NCR,Zonrox Bleach 500ml,9,32.0,288.0,09135649757,Cash,Cancelled
ORD-20260142,2026-04-02,  PEDRO CRUZ  ,Manila,NCR,Lucky Me Beef Sotanghon,2,13.0,26.0,09685850670,COD,Delivered
ORD-20260143,2026-01-28,Eduardo Pascual,Tarlac City,Central Luzon,Colgate Toothpaste 75ml,11,45.0,495.0,09649235954,Cash,Delivered
ORD-20260144,2026-04-02,  MANUEL MENDOZA  ,Mandaue,Central Visayas,CDO Corned Beef,11,33.0,363.0,09591403860,Bank Transfer,Delivered
ORD-20260145,2026-02-22,Fernando Pascual,Quezon City,NCR,Surf Powder Sachet,7,8.0,56.0,09580108640,COD,Pending
ORD-20260146,2026-01-25,Jose Garcia,Malolos,Central Luzon,Surf Powder Sachet,18,8.0,144.0,09775264332,GCash,Pending
ORD-20260147,2026-03-03,Ricardo Ocampo,Pasig,NCR,ILUV Ballpen,12,10.0,120.0,09798478200,COD,Delivered
ORD-20260148,2026-02-21,Luz Aquino,Tarlac City,Central Luzon,Coca-Cola 1.5L,19,65.0,1235.0,09805904910,GCash,Cancelled
ORD-20260149,2026-06-28,Rosa Del Rosario,Pasig,NCR,Sta. Maria Crayons,19,40.0,760.0,09515188526,GCash,Delivered
ORD-20260150,2026-01-08,Maria Bautista,Mandaue,Central Visayas,Colgate Toothpaste 75ml,2,45.0,90.0,09530094912,Maya,Pending
ORD-20260151,2026-06-27,Jose Del Rosario,Tagbilaran,Central Visayas,Sta. Maria Crayons,6,40.0,240.0,09573074556,Cash,Pending
ORD-20260152,2026-03-29,Manuel Aquino,Bacolod,Western Visayas,Nissin Cup Noodles,8,20.0,160.0,09326582475,COD,Delivered
ORD-20260153,2026-02-15,  ROSA DEL ROSARIO  ,Pasig,NCR,CDO Corned Beef,7,33.0,231.0,09825467516,Maya,Pending
ORD-20260154,2026-02-14,Teresa Villanueva,Iloilo City,Western Visayas,C2 Green Tea 500ml,8,22.0,176.0,09739590049,Cash,Delivered
ORD-20260155,2026-05-13,Josefina Ocampo,Davao City,Davao Region,Yellow Pad Paper,12,12.0,144.0,09429473144,GCash,Delivered
ORD-20260156,2026-03-22,Ana Ramos,Malolos,Central Luzon,Colgate Toothpaste 75ml,4,45.0,180.0,09186049152,COD,Returned
ORD-20260157,2026-05-20,Manuel Reyes,Quezon City,NCR,Nescafe 3-in-1 Sachet,9,8.0,72.0,09845977290,COD,Delivered
ORD-20260158,2026-05-17,Corazon Villanueva,Angeles City,Central Luzon,Domex Toilet Cleaner,11,55.0,605.0,09568134211,Cash,Delivered
ORD-20260159,2026-05-20,Maria Santos,Tagum,Davao Region,Surf Powder Sachet,15,8.0,120.0,09628132516,COD,Delivered
ORD-20260160,2026-03-12,Pedro Aquino,Malolos,Central Luzon,CDO Corned Beef,15,33.0,495.0,09799609684,Cash,Pending
ORD-20260161,2026-04-17,Pedro Torres,Dasmarinas,CALABARZON,Milo Sachet,17,9.0,153.0,09703799612,Cash,Delivered
ORD-20260162,2026-06-14,Manuel Mendoza,Tagbilaran,Central Visayas,Surf Powder Sachet,15,8.0,120.0,09333313016,Bank Transfer,Delivered
ORD-20260163,2026-03-11,  MANUEL SANTOS  ,Mandaue,Central Visayas,Domex Toilet Cleaner,3,55.0,165.0,09733676945,Cash,Delivered
ORD-20260164,2026-06-27,  CRISTINA CASTILLO  ,Mandaue,Central Visayas,Nescafe 3-in-1 Sachet,7,8.0,56.0,09167703506,GCash,Delivered
ORD-20260165,2026-03-28,Ramon Mendoza,Tagum,Davao Region,Nova Multigrain 78g,16,30.0,480.0,09218770141,Maya,Delivered
ORD-20260166,2027-01-23,Antonio Flores,Angeles City,Central Luzon,Coca-Cola 1.5L,12,65.0,780.0,09808205745,Cash,Cancelled
ORD-20260167,2026-01-19,  TERESA REYES  ,Calamba,CALABARZON,Safeguard Soap Bar,11,28.0,308.0,09195879720,Cash,Pending
ORD-20260168,2026-04-24,  FERNANDO OCAMPO  ,Tagum,Davao Region,Piattos 85g,11,32.0,352.0,09229797107,Cash,Cancelled
ORD-20260169,2026-05-02,Maria Mendoza,manila,NCR,Argentina Corned Beef,6,35.0,210.0,09502333234,GCash,Pending
ORD-20260170,2026-02-17,Ana Torres,Pasig,NCR,Lucky Me Beef Sotanghon,17,13.0,221.0,09922956938,COD,Delivered
ORD-20260171,2026-02-15,Pedro Cruz,Manila,NCR,Milo Sachet,5,9.0,45.0,09956888411,Bank Transfer,Pending
ORD-20260172,2026-03-28,Pedro Torres,Dasmarinas,CALABARZON,Piattos 85g,17,32.0,544.0,09232415981,Cash,Delivered
ORD-20260173,2026-03-01,Eduardo Pascual,Tarlac City,Central Luzon,555 Sardines,19,22.0,418.0,09347877193,GCash,Delivered
ORD-20260174,2026-05-11,Ricardo Cruz,Calamba,CALABARZON,SkyFlakes Crackers,18,15.0,270.0,091234,Bank Transfer,Delivered
ORD-20260175,2026-06-21,  ROSA CRUZ  ,Tarlac City,Central Luzon,Nissin Cup Noodles,5,20.0,100.0,09416228637,COD,Delivered
ORD-20260176,2026-06-13,Teresa Torres,Tagum,Davao Region,ILUV Ballpen,16,10.0,160.0,09302438772,GCash,Delivered
ORD-20260177,2026-03-05,Teresa Villanueva,Malolos,Central Luzon,Safeguard Soap Bar,8,28.0,224.0,091234,GCash,Pending
ORD-20260178,2026-01-03,Josefina Cruz,Bacolod,Western Visayas,Lucky Me Pancit Canton Noodles,6,14.0,84.0,09953059832,GCash,Delivered
ORD-20260179,2026-02-25,Carmen Pascual,Bacolod,Western Visayas,Sta. Maria Crayons,6,40.0,240.0,09626585974,Cash,Returned
ORD-20260180,2026-04-16,  TERESA SANTOS  ,Davao City,Davao Region,C2 Green Tea 500ml,4,22.0,88.0,09935469487,Cash,Cancelled
ORD-20260181,2026-04-15,Josefina Bautista,Calamba,CALABARZON,C2 Green Tea 500ml,10,22.0,220.0,091234,COD,Delivered
ORD-20260182,2026-03-27,  PEDRO GARCIA  , Manila,NCR,Joy Dishwashing Liquid 250ml,1,38.0,38.0,09594951525,Bank Transfer,Delivered
ORD-20260183,2026-01-13,  PEDRO SANTOS  ,Iloilo City,Western Visayas,Domex Toilet Cleaner,12,55.0,660.0,09892287714,COD,Delivered
ORD-20260184,2026-01-08,Juan Villanueva,Pasig,NCR,Domex Toilet Cleaner,11,55.0,605.0,09700155687,Maya,Delivered
ORD-20260185,2026-05-02,Ana Ramos,Malolos,Central Luzon,Surf Powder Sachet,2,8.0,16.0,091234,Cash,Delivered
ORD-20260186,2026-04-15,  CRISTINA CASTILLO  ,Mandaue,Central Visayas,ILUV Ballpen,11,10.0,110.0,09627257471,COD,Delivered
ORD-20260187,2026-04-29,  MARIA VILLANUEVA  ,Calamba,CALABARZON,Joy Dishwashing Liquid 250ml,4,38.0,152.0,09700863476,Maya,Delivered
ORD-20260188,2026-04-20,Maria Pascual,Tagum,Davao Region,Zonrox Bleach 500ml,13,32.0,416.0,09895572090,COD,Delivered
