order_id,customer_email,product_sku,quantity,unit_price,discount_pct,order_date,ship_date,region,status
ORD-20050,,SKU-1059,6,960.24,1.22,2025-07-03,2025-07-05,Region XI,shipped
ORD-20051,user51@example.com,SKU-1039,7,2219.93,,2025-03-02,2025-03-11,Region VII,processing
ORD-20052,user52@example.com,SKU-1048,1,212.8,0.22,2025-04-07,2025-04-15,Region XI,delivered
ORD-20053,user53@example.com,SKU-1046,2,966.29,0.39,2025-08-05,,Region XI,PENDING
ORD-20054,user54@example.com,SKU-1007,1,1959.48,1.39,2025-06-23,2025-06-27,Region IV-A,delivered
ORD-20055,user55@example.com,SKU-1020,8,2551.97,,2025-07-27,2025-07-30,Region VII,PROCESSING
ORD-20056,user56@example.com,SKU-1041,6,1718.94,0.38,2025-08-20,2025-08-21,CAR,processing
ORD-20057,user57@example.com,SKU-1002,9,2478.14,,2025-05-09,2025-05-11,Region III,shipped
ORD-20058,user58@example.com,SKU-1020,6,2276.24,0.23,2025-10-10,2025-10-15,NCR,cancelled
ORD-20059,user59@example.com,SKU-1032,8,2856.41,0.26,2025-03-31,2025-04-09,Region XI,pending
ORD-20060,user60@example.com,SKU-1029,7,423.06,0.0,2025-04-20,2025-04-22,Region IV-A,pending
ORD-20061,user61@example.com,SKU-1047,1,2497.62,0.35,2025-11-07,2025-11-08,Region VII,processing
ORD-20062,user62@example.com,SKU-1028,5,1669.71,0.31,2025-12-10,,Region XI,processing
ORD-20063,user63@example.com,SKU-1010,4,2455.3,0.18,2025-07-02,2025-07-06,Region IV-A,processing
ORD-20064,user64@example.com,SKU-1033,9,1778.19,0.01,2025-07-14,2025-07-15,Region VII,pending
ORD-20065,user65@example.com,SKU-1057,7,1335.63,0.01,2025-10-28,2025-11-01,Region VII,cancelled
ORD-20066,user66@example.com,SKU-1036,3,2105.54,,2025-06-07,2025-06-14,CAR,pending
ORD-20067,user67@example.com,SKU-1030,5,2764.25,0.19,2025-05-30,2025-06-08,Region VII,DELIVERED
ORD-20068,user68@example.com,SKU-1009,5,2263.53,0.29,2025-07-25,2025-07-30,CAR,pending
ORD-20069,user69@example.com,SKU-1025,2,1030.48,0.08,2025-12-30,2026-01-06,Region III,delivered
ORD-20070,user70@example.com,SKU-1005,9,1122.23,0.28,2025-01-19,2025-01-21,CAR,shipped
ORD-20071,user_at_example.com,SKU-1031,,1759.78,1.72,2025-12-18,,CAR,processing
ORD-20072,user72@example.com,SKU-1018,6,1247.48,0.02,2025-01-04,2025-01-12,Region VII,shipped
ORD-20073,user73@example.com,SKU-1040,2,1175.81,0.05,2025-10-17,2025-10-25,Region III,pending
  ORD-20074,user74@example.com,SKU-1026,4,2414.14,1.49,2025-10-11,2025-10-12,NCR,pending
ORD-20075,user75@example.com,SKU-1052,3,2413.67,0.35,2025-01-25,2025-01-29,CAR,cancelled
  ORD-20076,user76@example.com,SKU-1013,2,2555.31,0.39,2025-04-05,2025-04-12,Region IV-A,shipped
ORD-20077,user77@example.com,SKU-1027,,2234.56,0.26,2025-05-16,2025-05-19,Region III,shipped
ORD-20078,user78@example.com,SKU-1053,5,1721.33,,2025-07-17,2025-07-26,NCR,pending
ORD-20079,user79@example.com,SKU-1006,6,896.41,0.13,2025-01-20,,Region IV-A,shipped
ORD-20080,user80@example.com,SKU-1021,1,2421.85,0.39,2025-01-08,2025-01-10,Region IV-A,shipped
ORD-20081,user81@example.com,SKU-1006,1,1605.75,,2025-04-08,2025-04-13,Region XI,shipped
ORD-20082,user82@example.com,SKU-1027,9,2206.86,,2025-06-03,2025-06-11,NCR,delivered
ORD-20083,user83@example.com,SKU-1033,3,1532.46,0.33,2025-09-30,2025-10-04,Region III,shipped
ORD-20084,user84@example.com,SKU-1013,2,1687.85,0.26,2025-12-16,2025-12-21,Region III,shipped
ORD-20085,user_at_example.com,SKU-1055,2,302.68,0.25,2025-02-02,2025-02-08,Region IV-A,delivered
ORD-20086,user86@example.com,SKU-1050,1,2667.19,,2025-08-19,,Region XI,delivered
ORD-20087,user87@example.com,SKU-1013,8,2393.57,0.33,2025-01-19,2025-01-25,Region III,processing
ORD-20088,user88@example.com,SKU-1054,7,639.56,,2025-12-16,2025-12-12,CAR,pending
ORD-20089,user89@example.com,SKU-1023,6,1079.65,0.38,2025-12-20,2025-12-28,CAR,delivered
ORD-20090,not-an-email,SKU-1039,5,2029.4,0.08,2025-06-10,2025-06-17,NCR,shipped
ORD-20091,user91@example.com,SKU-1000,8,187.94,0.38,2025-03-14,2025-03-19,CAR,processing
ORD-20092,user92@example.com,SKU-1046,2,287.27,0.35,2025-11-29,2025-12-06,Region IV-A,shipped
ORD-20093,user93@example.com,SKU-1001,7,2512.24,,2025-07-14,2025-07-23,NCR,cancelled
ORD-20094,user94@example.com,SKU-1050,1,1184.23,0.07,2025-07-13,2025-07-19,Region III,shipped
ORD-20095,user95@example.com,SKU-1030,3,2269.33,0.32,2025-02-20,2025-02-27,Region VII,cancelled
ORD-20096,user96@example.com,SKU-1010,1,2088.53,1.84,2025-01-16,,NCR,shipped
ORD-20097,user97@example.com,SKU-1055,3,426.76,0.0,2025-04-24,,CAR,processing
ORD-20098,user98@example.com,SKU-1012,9,844.35,0.08,2025-03-04,2025-03-06,Region IV-A,cancelled
ORD-20099,user99@example.com,SKU-1038,2,1111.48,0.23,2025-11-21,2025-11-24,CAR,processing
ORD-20100,user100@example.com,SKU-1043,7,2810.39,0.17,2025-03-29,2025-04-07,Region III,delivered
ORD-20101,user101@example.com,SKU-1059,2,1694.82,0.29,2025-06-04,2025-06-11,Region XI,processing
ORD-20102,user102@example.com,SKU-1046,5,2593.26,0.18,2025-09-20,2025-09-26,Region IV-A,PENDING
  ORD-20103,user103@example.com,SKU-1029,9,2586.22,0.25,2025-12-17,2025-12-18,Region III,shipped
  ORD-20104,user104@example.com,SKU-1046,8,2369.17,,2025-01-31,2025-02-08,Region III,delivered
ORD-20105,user105@example.com,SKU-1045,4,1440.74,,2025-05-22,2025-05-27,Region XI,pending
ORD-20106,user106@example.com,SKU-1044,4,233.98,0.24,2025-01-13,2025-01-17,CAR,pending
ORD-20107,user107@example.com,SKU-1034,2,101.98,0.03,2025-01-28,2025-02-03,Region IV-A,delivered
ORD-20108,user_at_example.com,SKU-1057,1,2518.95,1.72,2025-10-11,2025-10-19,Region VII,pending
ORD-20109,user109@example.com,SKU-1057,2,1775.07,1.25,2025-11-13,2025-11-15,NCR,shipped
ORD-20110,user110@example.com,SKU-1040,5,1716.53,0.3,2025-04-02,2025-04-03,Region XI,pending
ORD-20111,user111@example.com,SKU-1026,6,373.97,0.15,2025-07-16,2025-07-19,Region VII,cancelled
  ORD-20112,user112@example.com,SKU-1059,9,2914.06,0.25,2025-11-19,2025-11-24,Region IV-A,delivered
ORD-20113,user113@example.com,SKU-1039,-2,818.77,0.18,2025-06-19,2025-06-27,Region XI,cancelled
ORD-20114,user114@example.com,SKU-1048,2,1391.88,,2025-07-02,2025-07-06,NCR,CANCELLED
ORD-20115,user115@example.com,SKU-1042,4,1768.21,0.26,2025-07-22,2025-07-24,Region VII,cancelled
ORD-20116,user116@example.com,SKU-1044,1,2071.11,0.24,2025-08-25,2025-09-03,Region XI,pending
ORD-20117,user117@example.com,SKU-1020,5,-99.0,0.17,2025-04-29,2025-05-01,Region XI,cancelled
  ORD-20118,user118@example.com,SKU-1021,2,604.49,0.3,2025-10-16,2025-10-25,Region IV-A,processing
  ORD-20119,user119@example.com,SKU-1055,4,705.62,0.08,2025-07-17,2025-07-19,Region VII,pending
ORD-20120,user120@example.com,SKU-1000,1,2879.09,0.05,2025-04-25,2025-05-02,Region III,shipped
ORD-20121,user121@example.com,SKU-1053,6,1153.77,0.06,2025-09-15,2025-09-16,Region XI,shipped
ORD-20122,user122@example.com,SKU-1018,6,1672.1,0.11,2025-05-30,2025-06-04,NCR,processing
ORD-20123,user123@example.com,SKU-1012,8,1824.35,0.29,2025-10-15,2025-10-20,Region IV-A,cancelled
ORD-20124,user124@example.com,SKU-1022,5,2361.29,0.32,2025-02-25,2025-02-28,CAR,processing
ORD-20125,user125@example.com,SKU-1034,five,1272.4,0.29,2025-11-25,2025-12-02,Region XI,processing
  ORD-20126,user126@example.com,SKU-1049,1,1851.29,0.13,2025-01-15,2025-01-24,Region III,processing
ORD-20127,user127@example.com,SKU-1006,9,2844.6,0.03,2025-10-23,2025-10-30,NCR,cancelled
ORD-20128,user128@example.com,SKU-1019,9,2676.04,0.37,2025-06-13,2025-06-19,Region IV-A,cancelled
ORD-20129,user129@example.com,SKU-1027,3,1524.57,0.01,2025-10-13,,Region III,cancelled
ORD-20130,user130@example.com,SKU-1054,4,1578.06,0.21,2025-10-28,2025-10-30,Region XI,DELIVERED
ORD-20131,user131@example.com,SKU-1039,6,2547.25,1.79,2025-04-10,,NCR,delivered
ORD-20132,user132@example.com,SKU-1001,8,2471.02,0.13,2025-02-16,2025-02-25,Region XI,shipped
ORD-20133,user133@example.com,SKU-1020,3,1801.47,0.12,2025-06-14,2025-06-18,Region IV-A,shipped
ORD-20134,user134@example.com,SKU-1011,4,320.39,0.33,2025-11-16,,Region IV-A,shipped
ORD-20135,user135@example.com,SKU-1039,2,1793.43,0.29,2025-01-01,2024-12-28,Region III,CANCELLED
ORD-20136,user136@example.com,SKU-1053,9,2995.91,0.34,2025-12-11,2025-12-19,Region III,processing
ORD-20137,user137@example.com,SKU-1045,2,468.86,0.21,2025-07-08,2025-07-05,Region III,processing
ORD-20138,user138@example.com,SKU-1045,1,788.18,0.17,2025-01-13,2025-01-18,Region IV-A,cancelled
ORD-20139,user139@example.com,SKU-1041,5,2386.35,,2025-09-25,2025-09-26,Region IV-A,processing
ORD-20140,user140@example.com,SKU-1035,3,961.35,0.14,2025-03-26,2025-04-04,NCR,processing
ORD-20141,user141@example.com,SKU-1008,5,287.62,0.27,2025-09-03,2025-09-01,Region VII,cancelled
ORD-20142,user142@example.com,SKU-1008,2,325.63,1.11,2025-05-17,2025-05-22,NCR,processing
ORD-20143,user143@example.com,SKU-1055,4,1898.48,0.36,2025-08-03,2025-08-10,Region IV-A,pending
ORD-20144,user144@example.com,SKU-1001,8,730.53,0.09,2025-06-01,2025-06-02,NCR,cancelled
ORD-20145,user145@example.com,SKU-1040,4,1652.74,0.38,2025-02-09,2025-02-10,Region IV-A,SHIPPED
ORD-20146,user146@example.com,SKU-1018,4,2387.28,1.64,2025-12-07,,Region VII,PENDING
ORD-20147,user147@example.com,SKU-1034,8,1429.96,0.21,2025-03-02,2025-03-05,CAR,pending
ORD-20148,,SKU-1003,3,404.97,0.35,2025-11-19,2025-11-26,Region XI,delivered
ORD-20149,user149@example.com,SKU-1028,4,1415.85,0.29,2025-08-14,2025-08-21,NCR,delivered
ORD-20150,user_at_example.com,SKU-1042,4,1445.7,0.09,2025-12-23,2025-12-24,NCR,CANCELLED
ORD-20151,user151@example.com,SKU-1056,8,2808.91,0.35,2025-11-02,2025-11-05,Region III,cancelled
ORD-20152,user_at_example.com,SKU-1040,5,2938.24,0.19,2025-03-03,2025-03-06,Region III,pending
ORD-20153,user153@example.com,SKU-1042,3,789.4,0.36,2025-12-02,,,processing
ORD-20154,user154@example.com,SKU-1046,9,2655.4,,2025-01-23,2025-01-20,NCR,shipped
ORD-20155,user155@example.com,SKU-1010,7,565.21,0.2,2025-01-22,2025-01-28,CAR,processing
ORD-20156,user156@example.com,SKU-1046,7,1538.99,0.14,2025-04-25,2025-05-03,Region III,cancelled
ORD-20157,user157@example.com,SKU-1002,2,2733.1,0.34,2025-01-02,2025-01-04,Region VII,pending
ORD-20158,user_at_example.com,SKU-1044,4,2123.12,0.3,2025-08-10,2025-08-11,Region XI,delivered
ORD-20159,user159@example.com,SKU-1032,6,2534.13,0.36,2025-08-18,2025-08-19,Region VII,cancelled
ORD-20160,user160@example.com,SKU-1030,7,608.05,0.17,2025-12-17,2025-12-18,Region III,shipped
ORD-20161,user161@example.com,SKU-1021,7,1135.32,0.03,2025-01-04,2025-01-08,CAR,pending
ORD-20162,user162@example.com,SKU-1055,2,0.0,0.31,2025-05-19,2025-05-27,Region VII,processing
ORD-20163,user163@example.com,SKU-1019,5,470.63,0.27,2025-03-18,2025-03-16,Region III,delivered
ORD-20164,user164@example.com,SKU-1058,1,425.46,0.34,2025-12-15,2025-12-21,NCR,cancelled
ORD-20165,user165@example.com,SKU-1049,4,1054.13,0.23,2025-09-14,2025-09-21,,delivered
ORD-20166,user166@example.com,SKU-1046,2,285.29,0.1,2025-05-06,2025-05-09,NCR,processing
ORD-20167,user167@example.com,SKU-1007,3,437.76,0.25,2025-02-12,2025-02-13,NCR,shipped
ORD-20168,user168@example.com,SKU-1023,6,1017.29,0.08,2025-06-07,2025-06-08,,delivered
ORD-20169,user169@example.com,SKU-1015,1,1747.94,0.05,2025-08-08,2025-08-09,CAR,delivered
ORD-20170,user170@example.com,SKU-1009,4,1214.3,0.26,2025-07-28,2025-08-02,Region VII,pending
ORD-20171,user171@example.com,SKU-1044,9,1467.21,0.34,2025-03-19,2025-03-20,CAR,delivered
ORD-20172,user172@example.com,SKU-1002,2,2156.57,,2025-07-28,2025-07-30,Region XI,processing
ORD-20173,user173@example.com,SKU-1006,8,2130.6,0.28,2025-09-02,2025-09-05,Region III,cancelled
ORD-20174,user174@example.com,SKU-1056,2,916.99,0.24,2025-08-25,2025-08-27,Region VII,pending
ORD-20175,user175@example.com,SKU-1026,6,56.82,0.02,2025-10-28,2025-11-06,Region IV-A,processing
ORD-20176,user176@example.com,SKU-1023,8,2556.06,0.36,2025-12-12,2025-12-13,Region VII,shipped
ORD-20177,user177@example.com,SKU-1018,8,438.36,0.19,2025-10-16,,CAR,cancelled
ORD-20178,user178@example.com,SKU-1021,8,2377.96,0.25,2025-01-24,,CAR,shipped
ORD-20179,user179@example.com,SKU-1056,2,1397.27,0.3,2025-08-05,2025-08-07,Region III,processing
ORD-20180,user180@example.com,SKU-1046,9,2410.09,0.38,2025-04-26,2025-04-28,Region XI,pending
ORD-20181,user181@example.com,SKU-1027,6,1884.61,0.13,2025-01-11,2025-01-15,NCR,pending
ORD-20182,user182@example.com,SKU-1036,8,1613.35,0.28,2025-07-08,2025-07-12,Region XI,processing
ORD-20183,user183@example.com,SKU-1019,5,2707.48,0.33,2025-10-08,2025-10-16,Region VII,shipped
ORD-20184,user184@example.com,SKU-1059,3,2108.74,0.13,2025-01-24,2025-02-02,Region IV-A,shipped
ORD-20185,user185@example.com,SKU-1023,five,287.68,0.03,2025-03-16,2025-03-21,NCR,delivered
ORD-20186,user186@example.com,SKU-1036,5,-99.0,0.18,2025-09-02,2025-09-03,CAR,processing
ORD-20187,user187@example.com,SKU-1053,9,2630.75,0.15,2025-03-09,2025-03-13,Region III,shipped
ORD-20188,user188@example.com,SKU-1052,3,1956.79,0.13,2025-07-12,,Region VII,processing
ORD-20189,user189@example.com,SKU-1024,6,1403.9,0.34,2025-03-29,2025-04-07,Region IV-A,processing
ORD-20190,user190@example.com,SKU-1037,2,337.64,0.26,2025-10-29,2025-11-06,Region XI,pending
ORD-20191,user191@example.com,SKU-1050,9,-99.0,0.23,2025-06-25,2025-07-04,Region VII,pending
ORD-20192,user_at_example.com,SKU-1006,1,1492.14,0.14,2025-02-02,2025-02-03,Region III,cancelled
ORD-20193,user193@example.com,SKU-1024,1,1234.58,1.79,2025-06-25,2025-07-04,CAR,pending
ORD-20194,user194@example.com,SKU-1003,4,1934.98,0.04,2025-09-06,2025-09-13,Region IV-A,delivered
ORD-20195,user195@example.com,SKU-1049,2,1029.29,0.12,2025-08-17,2025-08-21,Region III,shipped
ORD-20196,user196@example.com,SKU-1052,8,2577.44,,2025-09-29,2025-10-06,Region XI,DELIVERED
ORD-20197,user197@example.com,SKU-1050,3,706.79,0.39,2025-08-12,2025-08-21,NCR,processing
ORD-20198,user198@example.com,SKU-1025,5,2758.36,1.66,2025-04-06,2025-04-09,Region VII,cancelled
ORD-20199,user199@example.com,SKU-1036,6,186.79,0.12,2025-07-17,2025-07-26,CAR,delivered
ORD-20200,user200@example.com,SKU-1002,7,1109.85,0.22,2025-05-16,2025-05-20,CAR,CANCELLED
ORD-20201,user201@example.com,SKU-1000,4,1304.57,0.09,2025-03-20,2025-03-22,Region XI,cancelled
ORD-20202,user202@example.com,SKU-1029,1,2970.3,0.38,2025-06-14,2025-06-17,Region IV-A,shipped
ORD-20203,user203@example.com,SKU-1051,7,290.87,0.1,2025-06-15,2025-06-20,NCR,processing
ORD-20204,user204@example.com,SKU-1014,4,628.21,0.21,2025-07-10,2025-07-14,Region XI,PENDING
ORD-20205,user205@example.com,SKU-1054,1,2963.6,0.32,2025-12-14,2025-12-19,NCR,processing
ORD-20206,user206@example.com,SKU-1006,3,1570.52,0.29,2025-12-02,2025-12-09,NCR,processing
ORD-20207,user207@example.com,SKU-1044,9,2094.8,0.02,2025-11-22,2025-11-27,NCR,cancelled
ORD-20208,user208@example.com,SKU-1018,6,2858.89,0.02,2025-11-29,2025-12-05,Region XI,processing
ORD-20209,user209@example.com,SKU-1022,5,1983.62,0.37,2025-04-14,2025-04-13,Region IV-A,delivered
ORD-20210,user210@example.com,SKU-1041,6,2938.99,0.19,2025-08-22,2025-08-26,NCR,processing
ORD-20211,user211@example.com,SKU-1015,9,1924.26,0.29,2025-11-14,2025-11-21,Region III,delivered
ORD-20212,user212@example.com,SKU-1044,4,65.95,,2025-07-09,2025-07-11,Region VII,cancelled
ORD-20213,user213@example.com,SKU-1002,7,2573.64,0.39,2025-06-05,,Region IV-A,cancelled
ORD-20214,user214@example.com,SKU-1032,3,142.22,0.07,2025-07-30,2025-08-04,Region XI,pending
ORD-20215,user215@example.com,SKU-1037,4,939.47,0.39,2025-03-25,2025-04-02,Region XI,cancelled
ORD-20216,user216@example.com,SKU-1016,7,852.08,0.27,2025-02-07,2025-02-10,Region VII,pending
ORD-20217,user217@example.com,SKU-1026,7,1640.03,1.22,2025-07-26,2025-08-02,NCR,cancelled
ORD-20218,user218@example.com,SKU-1003,1,1800.35,,2025-11-08,2025-11-09,Region IV-A,shipped
ORD-20219,user_at_example.com,SKU-1021,6,1967.04,0.23,2025-08-21,2025-08-27,Region VII,shipped
ORD-20220,user220@example.com,SKU-1011,7,2612.65,0.26,2025-07-14,2025-07-18,Region VII,delivered
ORD-20221,user_at_example.com,SKU-1031,2,2823.38,0.17,2025-12-04,2025-12-06,Region XI,pending
ORD-20222,user222@example.com,SKU-1022,1,488.3,0.23,2025-03-31,2025-04-06,Region III,pending
ORD-20223,user223@example.com,SKU-1025,9,1343.31,0.33,2025-02-24,2025-03-03,NCR,pending
ORD-20224,user224@example.com,SKU-1005,3,2313.07,0.17,2025-01-16,2025-01-22,Region III,shipped
ORD-20225,user225@example.com,SKU-1042,6,969.71,0.1,2025-05-14,2025-05-23,Region IV-A,delivered
ORD-20226,,SKU-1018,7,2289.13,0.06,2025-08-06,2025-08-11,Region III,processing
ORD-20227,user227@example.com,SKU-1051,9,1960.99,0.09,2025-07-09,2025-07-12,Region VII,cancelled
  ORD-20228,user228@example.com,SKU-1033,2,906.98,0.37,2025-02-19,2025-02-25,CAR,PROCESSING
ORD-20229,user229@example.com,SKU-1051,9,953.2,0.02,2025-06-16,2025-06-18,NCR,shipped
ORD-20230,user230@example.com,SKU-1034,2,943.15,0.19,2025-01-21,2025-01-27,Region III,delivered
ORD-20231,user231@example.com,SKU-1011,7,1151.26,0.37,2025-08-26,2025-09-04,Region IV-A,cancelled
ORD-20232,user232@example.com,SKU-1003,8,1342.26,0.26,2025-06-28,2025-07-07,Region XI,DELIVERED
ORD-20233,user233@example.com,SKU-1058,6,-99.0,0.06,2025-09-30,2025-10-09,Region XI,cancelled
ORD-20234,user234@example.com,SKU-1058,1,1829.34,0.07,2025-10-07,2025-10-14,Region XI,processing
ORD-20235,user235@example.com,SKU-1023,2,2111.66,0.31,2025-03-18,2025-03-27,Region XI,cancelled
ORD-20236,user236@example.com,SKU-1013,9,814.4,0.26,2025-05-21,2025-05-26,CAR,delivered
ORD-20237,user237@example.com,SKU-1030,1,2545.26,0.27,2025-03-12,,Region XI,shipped
ORD-20238,user238@example.com,SKU-1003,2,2736.13,0.29,2025-10-13,,Region III,processing
ORD-20239,user239@example.com,SKU-1052,2,1458.55,0.2,2025-05-30,2025-06-06,NCR,delivered
  ORD-20240,user240@example.com,SKU-1001,9,1020.13,0.25,2025-05-26,2025-05-23,Region VII,cancelled
ORD-20241,user241@example.com,SKU-1041,2,2383.86,0.06,2025-07-16,,CAR,processing
ORD-20242,user242@example.com,SKU-1028,-2,2008.74,0.36,2025-10-07,2025-10-13,Region IV-A,delivered
ORD-20243,user243@example.com,SKU-1057,6,2027.45,0.28,2025-06-21,2025-06-30,Region IV-A,cancelled
ORD-20244,user244@example.com,SKU-1057,6,2107.35,0.11,2025-11-29,2025-12-05,CAR,pending
ORD-20245,user245@example.com,SKU-1024,6,2985.6,0.35,2025-04-25,2025-04-29,Region III,delivered
ORD-20246,user246@example.com,SKU-1026,8,394.03,,2025-10-17,2025-10-23,Region XI,shipped
ORD-20247,user247@example.com,SKU-1001,1,2711.95,0.14,2025-05-12,2025-05-19,Region IV-A,delivered
ORD-20248,,SKU-1022,4,546.42,,2025-05-18,2025-05-25,CAR,processing
ORD-20249,user249@example.com,SKU-1012,2,2116.49,0.14,2025-10-03,2025-10-10,,processing
ORD-20250,user250@example.com,SKU-1050,3,1284.3,0.03,2025-09-07,2025-09-14,NCR,SHIPPED
ORD-20251,user251@example.com,SKU-1055,3,2488.05,0.4,2025-05-20,2025-05-16,Region XI,pending
ORD-20252,user252@example.com,SKU-1013,2,1719.2,0.23,2025-05-06,,CAR,delivered
ORD-20253,user253@example.com,SKU-1020,5,366.05,0.14,2025-03-07,2025-03-13,Region VII,shipped
  ORD-20254,user254@example.com,SKU-1026,2,140.5,,2025-01-07,2025-01-16,NCR,delivered
ORD-20255,user255@example.com,SKU-1040,8,541.46,0.29,2025-08-28,,CAR,processing
ORD-20256,user256@example.com,SKU-1053,8,1193.71,0.36,2025-05-13,2025-05-14,Region XI,processing
ORD-20257,user257@example.com,SKU-1035,-2,835.91,0.28,2025-02-02,2025-02-05,Region III,delivered
ORD-20258,user258@example.com,SKU-1034,5,1677.93,0.37,2025-01-27,,Region VII,delivered
ORD-20259,user259@example.com,SKU-1043,9,2733.7,,2025-08-05,2025-08-13,Region XI,processing
ORD-20260,user260@example.com,SKU-1021,9,2513.05,0.06,2025-09-24,2025-10-02,CAR,SHIPPED
